Ref,Val,Package,PosX,PosY,Rot,Side
"5V","Conn_02x12_Odd_Even","PinHeader_2x12_P1.00mm_Vertical",177.000000,-79.000000,90.000000,top
"BATTERY","Battery_Cell","AMASS_XT60-F_1x02_P7.20mm_Vertical",232.000000,-51.250000,-90.000000,top
"C1","C_Polarized_Small","CP_Radial_D7.5mm_P2.50mm",167.500000,-79.250000,90.000000,top
"C2","C_Polarized_Small","CP_Radial_D7.5mm_P2.50mm",169.250000,-144.500000,90.000000,top
"D1","LED","LED_D5.0mm",212.210000,-79.500000,0.000000,top
"J1","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",131.000000,-50.550000,-90.000000,top
"J2","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",146.000000,-50.800000,-90.000000,top
"J3","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",160.500000,-50.800000,-90.000000,top
"J4","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",175.000000,-50.800000,-90.000000,top
"J5","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",187.000000,-50.800000,-90.000000,top
"J6","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",200.250000,-50.750000,-90.000000,top
"J7","Screw_Terminal_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",212.500000,-50.750000,-90.000000,top
"J9","Conn_02x12_Odd_Even","PinHeader_2x12_P1.00mm_Vertical",178.750000,-144.000000,90.000000,top
"LM2596","YAAJ_DCDC_StepDown_LM2596","YAAJ_DCDC_StepDown_LM2596",77.000000,-87.500000,0.000000,top
"R1","R","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",207.360000,-67.590000,0.000000,top
"REF**","motor_driver_nex6","motor_driver_nex6",226.500000,-119.000000,0.000000,top
"REF**","motor_driver_nex6","motor_driver_nex6",88.500000,-118.000000,0.000000,top
"REF**","motor_driver_nex6","motor_driver_nex6",88.500000,-43.750000,0.000000,top
"REF**","expansion_board","expansion_board",144.000000,-89.500000,0.000000,top
"SW1","SW_SPST","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",237.955000,-87.250000,0.000000,top
